"","E73350000","E73300000","E73330000"
"1970-03-23",0.0298666666666667,0.0402140672782874,0.0294748124330118
"1970-03-24",0.0217333333333334,0.0339449541284405,0.0236870310825295
"1970-03-25",0.0152000000000001,0.021559633027523,0.0173633440514469
"1970-03-26",0.0107999999999999,0.0160550458715596,0.015005359056806
"1970-03-27",0.00839999999999996,0.0130886850152905,0.012433011789925
"1970-03-28",0.00760000000000005,0.0115902140672783,0.0109324758842444
"1970-03-29",0.00686666666666658,0.0108409785932722,0.009914255091104
"1970-03-30",0.00616666666666665,0.00923547400611624,0.009914255091104
"1970-03-31",0.00686666666666658,0.00923547400611624,0.0104287245444801
"1970-04-01",0.00839999999999996,0.0108409785932722,0.0120042872454449
"1970-04-02",0.00813333333333333,0.0130886850152905,0.0104287245444801
"1970-04-03",0.00839999999999996,0.0206422018348624,0.0173633440514469
