"","E70500000","E70300000","E70200000","E70100000","E86100000","E86160000"
"2000-08-11",0.0126818181818182,0.00904273504273512,0.0101170212765958,0.00534709193245786,0.0222527472527472,0.0119285714285715
"2000-08-12",0.0114545454545454,0.00696581196581203,0.00925531914893618,0.00489681050656654,0.0256593406593406,0.00995535714285722
"2000-08-13",0.0102272727272728,0.00611111111111118,0.00832446808510645,0.00489681050656654,0.0287362637362638,0.00898883928571426
"2000-08-14",0.0102272727272728,0.00547008547008554,0.00792553191489365,0.00489681050656654,0.0325824175824176,0.00864285714285717
"2000-08-15",0.0249818181818182,0.0143076923076924,0.0156737588652482,0.00737335834896813,0.0884615384615384,0.0919642857142857
"2000-08-16",0.0290545454545454,0.0305128205128204,0.0338652482269504,0.00759849906191379,0.0541758241758241,0.0487410714285714
"2000-08-17",0.0203272727272727,0.0198461538461538,0.022468085106383,0.00669793621013137,0.0329670329670331,0.0315624999999999
"2000-08-18",0.0226545454545455,0.021076923076923,0.0149645390070923,0.00624765478424005,0.0306593406593407,0.0255178571428571
"2000-08-19",0.0167727254545456,0.0167692307692309,0.0121276595744682,0.00579737335834896,0.0283516483516484,0.0191250000000001
"2000-08-20",0.0147272709090909,0.0136923076923077,0.0106914893617021,0.00579737335834896,0.0228571428571429,0.0154017857142856
"2000-08-21",0.013090909090909,0.0105555555555557,0.00954255319148944,0.00534709193245786,0.0187637362637363,0.0130357142857143
"2000-08-22",0.0118636363636364,0.00879059829059825,0.00872340425531926,0.00534709193245786,0.0173626373626374,0.0113973214285714
"2000-08-23",0.0110454545454546,0.00739316239316246,0.00805851063829777,0.00534709193245786,0.0171291208791209,0.0104107142857144
"2000-08-24",0.00981818181818173,0.0065384615384616,0.0077925531914893,0.00534709193245786,0.0306593406593407,0.00980357142857136
"2000-08-25",0.00953363636363647,0.00611111111111118,0.00752659574468084,0.00579737335834896,0.0598901098901099,0.00980357142857136
"2000-08-26",0.133545454545455,0.0736666666666665,0.0274609929078014,0.121200750469043,0.384615384615385,0.344330357142857
"2000-08-27",0.0511272727272727,0.0674102564102563,0.13031914893617,0.0544090056285178,0.124175824175824,0.135446428571429
"2000-08-28",0.0463272727272728,0.0393162393162394,0.0422695035460994,0.0367729831144465,0.0620329670329671,0.150714285714286
"2000-08-29",0.0261454545454545,0.0247692307692309,0.0276879432624113,0.0304127579737337,0.0482417582417582,0.0437723214285715
"2000-08-30",0.021490909090909,0.0195384615384615,0.019517730496454,0.0262757973733583,0.0397802197802197,0.0308928571428571
"2000-08-31",0.018,0.017076923076923,0.0158546099290779,0.0258161350844277,0.0329670329670331,0.0235624999999999
"2000-09-01",0.0171818181818182,0.0136923076923077,0.0135460992907801,0.0221388367729831,0.0192307692307692,0.0198058035714286
"2000-09-02",0.0163636363636364,0.0115641025641025,0.0121276595744682,0.0213320825515948,0.021195054945055,0.0181071428571429
"2000-09-03",0.0155454545454545,0.00979914529914527,0.0109787234042553,0.0181050656660413,0.0233104395604395,0.0162410714285715
"2000-09-04",0.0147272709090909,0.012068376068376,0.0102606382978723,0.0168949343339588,0.016662087912088,0.01484375
"2000-09-05",0.0139090909090909,0.00954700854700863,0.00968617021276597,0.0140712945590995,0.0138008241758241,0.0135982142857143
"2000-09-06",0.013090909090909,0.00828632478632474,0.0093989361702127,0.0114821763602251,0.0124986263736264,0.0129553571428571
"2000-09-07",0.0122727272727272,0.00739316239316246,0.00885638297872338,0.010187617260788,0.011521978021978,0.0120044642857142
"2000-09-08",0.0114545454545454,0.0065384615384616,0.00832446808510645,0.00889305816135089,0.0111964285714286,0.0111696428571428
"2000-09-09",0.00981818181818173,0.00632478632478639,0.0077925531914893,0.00824577861163234,0.0122815934065934,0.0104866071428571
"2000-09-10",0.0147272709090909,0.00904273504273512,0.00819148936170211,0.00824577861163234,0.0213461538461539,0.0145089285714286
"2000-09-11",0.192545454545455,0.0616239316239315,0.0146099290780142,0.0670637898686679,0.271978021978022,0.0273928571428572
"2000-09-12",0.518545454545455,0.194017094017094,0.375886524822695,0.228893058161351,0.23010989010989,0.118549107142857
"2000-09-13",0.0939272727272726,0.0586324786324786,0.083581560283688,0.0610694183864915,0.368131868131868,0.0480803571428572
"2000-09-14",0.366909090909091,0.50982905982906,0.103280141843972,0.430393996247655,0.29114010989011,0.253571428571429
"2000-09-15",0.226545454545455,0.161367521367521,0.213173758865248,0.143714821763602,0.17032967032967,0.134375
"2000-09-16",0.118272727272727,0.0818461538461539,0.0742198581560283,0.0650656660412758,0.14739010989011,0.07925
"2000-09-17",0.0708272727272727,0.0573504273504273,0.0487234042553191,0.0519699812382739,0.101085164835165,0.0539397321428572
"2000-09-18",0.0479272727272728,0.0449572649572649,0.0381205673758864,0.0416697936210131,0.143543956043956,0.0835357142857143
"2000-09-19",0.230909090909091,0.167521367521368,0.148457446808511,0.195403377110694,0.23532967032967,0.172455357142857
"2000-09-20",0.101381818181818,0.0694957264957266,0.0935283687943262,0.0887429643527204,0.0795604395604395,0.0771071428571428
"2000-09-21",0.0479272727272728,0.0449572649572649,0.0483865248226951,0.0519699812382739,0.0606043956043956,0.0528705357142858
"2000-09-22",0.0920727272727273,0.202564102564103,0.0659751773049646,0.312757973733583,0.0556043956043957,0.0966964285714287
"2000-09-23",0.0699090909090909,0.0813675213675213,0.081241134751773,0.217636022514071,0.0451442307692307,0.0570133928571428
"2000-09-24",0.160799981818182,0.205128205128205,0.0753900709219859,0.211069418386492,0.213255494505495,0.159107142857143
"2000-09-25",0.103254545454545,0.143247863247863,0.113829787234043,0.219512195121951,0.190769230769231,0.0879464285714286
"2000-09-26",0.0591272727272727,0.059059829059829,0.0549645390070923,0.213883677298311,0.151236263736264,0.0555669642857142
"2000-09-27",0.0463272727272728,0.0438290598290598,0.0395567375886525,0.196294559099437,0.137293956043956,0.0439285714285713
"2000-09-28",0.0371818181818182,0.0374358974358975,0.0323404255319149,0.187382739212008,0.12293956043956,0.0349553571428571
"2000-09-29",0.0303909090909091,0.0289102564102564,0.0274609929078014,0.0977485928705442,0.0982967032967033,0.0295535714285715
"2000-09-30",0.0278909090909092,0.0229230769230768,0.0233758865248226,0.0610694183864915,0.0762637362637362,0.0253928571428572
"2000-10-01",0.0311454545454546,0.0527008547008547,0.0215602836879432,0.0531894934333959,0.0584615384615386,0.0322321428571428
"2000-10-02",0.0311454545454546,0.0355555555555556,0.0215602836879432,0.0411257035647279,0.0465521978021979,0.0272678571428571
"2000-10-03",0.0238181818181817,0.0285897435897435,0.0201985815602836,0.0335084427767354,0.040631868131868,0.0221964285714287
"2000-10-04",0.100445454545455,0.0325470085470085,0.0298581560283688,0.0313320825515948,0.057032967032967,0.0395982142857143
"2000-10-05",0.110745454545454,0.0741880341880341,0.102836879432624,0.0294934333958725,0.142582417582418,0.104553571428571
"2000-10-06",0.0356727272727273,0.0385641025641026,0.045354609929078,0.03187617260788,0.0696703296703296,0.0408035714285715
"2000-10-07",0.0278909090909092,0.0314743589743589,0.0274609929078014,0.02765478424015,0.0389285714285714,0.0311607142857142
"2000-10-08",0.0220727272727272,0.0241538461538462,0.0206524822695036,0.02765478424015,0.0314285714285714,0.0250178571428572
"2000-10-09",0.0191636363636363,0.0186153846153847,0.0178439716312058,0.02765478424015,0.0302747252747253,0.0192946428571428
"2000-10-10",0.229818181818182,0.172991452991453,0.0480496453900709,0.129455909943715,0.0249725274725274,0.0610267857142857
"2000-10-11",0.0735818181818182,0.0751453076923077,0.072304964539007,0.0663977485928706,0.0380769230769231,0.0484107142857142
"2000-10-12",0.189545454545454,0.0586324786324786,0.112340425531915,0.175797373358349,0.719093406593406,0.393571428571429
"2000-10-13",0.661090909090909,0.404700854700855,0.499290780141844,0.374671669793621,0.766483516483516,0.371071428571429
"2000-10-14",0.262909090909091,0.156068376068376,0.227021276595745,0.18203564727955,0.469615384615385,0.150178571428571
"2000-10-15",0.127818181818182,0.0964102564102565,0.105496453900709,0.179362101313321,0.0851648351648351,0.0766785714285714
"2000-10-16",0.0920727272727273,0.0679316239316239,0.100177304964539,0.174906191369606,0.078901098901099,0.0541205357142858
"2000-10-17",0.0634818181818182,0.0547948717948719,0.0678368794326241,0.165103189493433,0.0859890109890109,0.0464285714285715
"2000-10-18",0.0599272727272728,0.0476752136752137,0.0480496453900709,0.142823639774859,0.095879120879121,0.0480803571428572
"2000-10-19",0.0503272727272728,0.0378119658119658,0.0398581560283688,0.0774859287054408,0.0990934065934066,0.0408035714285715
"2000-10-20",0.093,0.0868376068376069,0.0855319148936171,0.0624015009380863,0.095879120879121,0.0801071428571429
"2000-10-21",0.0543272727272728,0.0518632478632479,0.0521276595744682,0.0489212007504691,0.0942307692307693,0.0530357142857143
"2000-10-22",0.0487272727272727,0.0336752136752136,0.0318439716312056,0.0378611632270169,0.0876373626373625,0.0372767857142857
"2000-10-23",0.0439727272727273,0.0279487179487179,0.0256453900709219,0.0225984990619137,0.0942307692307693,0.0300892857142858
"2000-10-24",0.0479272727272728,0.0247692307692309,0.0229219858156029,0.0181050656660413,0.107857142857143,0.0282678571428572
"2000-10-25",0.0311454545454546,0.0223076923076924,0.0215602836879432,0.0148780487804878,0.11510989010989,0.0588214285714286
"2000-10-26",0.0232363636363637,0.0201538461538462,0.0201985815602836,0.0140712945590995,0.123351648351648,0.034375
"2000-10-27",0.256,0.253418803418803,0.0992907801418439,0.25703564727955,0.136813186813187,0.0741517857142857
"2000-10-28",0.0708272727272727,0.0586324786324786,0.0824113475177306,0.196294559099437,0.153296703296703,0.0537589285714286
"2000-10-29",0.0371818181818182,0.0438290598290598,0.0375886524822695,0.179362101313321,0.161538461538462,0.034375
"2000-10-30",0.0290545454545454,0.0340512820512822,0.0274609929078014,0.166885553470919,0.186813186813187,0.0295535714285715
"2000-10-31",0.0249818181818182,0.0279487179487179,0.022468085106383,0.156191369606004,0.127472527472527,0.0252678571428571
"2000-11-01",0.020909090909091,0.0223076923076924,0.0189290780141844,0.103827392120075,0.0950549450549452,0.0208303571428572
"2000-11-02",0.0203272727272727,0.0183076923076924,0.0169397163120568,0.0789868667917448,0.0769230769230769,0.0185312500000001
"2000-11-03",0.0238181818181817,0.0133846153846153,0.0156737588652482,0.0637335834896811,0.0321978021978022,0.0187008928571428
"2000-11-04",0.0175909072727272,0.0105555555555557,0.0151418439716311,0.0544090056285178,0.0185302197802197,0.0171741071428571
"2000-11-05",0.0159545454545456,0.0244615384615385,0.0131914893617022,0.0464821763602252,0.015728021978022,0.0145089285714286
"2000-11-06",0.0147272709090909,0.0216923076923077,0.0126595744680851,0.0411257035647279,0.0152609890109889,0.0132767857142857
"2000-11-07",0.0139090909090909,0.0146153846153847,0.0116968085106384,0.0304127579737337,0.0106538461538461,0.0123928571428571
"2000-11-08",0.0139090909090909,0.00954700854700863,0.0111223404255318,0.0201219512195121,0.011956043956044,0.011625
"2000-11-09",0.018,0.0158461538461538,0.0109787234042553,0.0127767354596622,0.0143434065934065,0.011625
"2000-11-10",0.0238181818181817,0.0308333333333333,0.0153191489361701,0.0531894934333959,0.0234615384615384,0.0192946428571428
"2000-11-11",0.0447272727272727,0.0468376068376068,0.0185673758865248,0.0205253283302065,0.0171291208791209,0.015625
"2000-11-12",0.0349181818181818,0.0216923076923077,0.0156737588652482,0.013424015009381,0.0147939560439561,0.0139508928571428
"2000-11-13",0.0267272727272727,0.0325470085470085,0.0189290780141844,0.0111585365853659,0.026043956043956,0.0199196428571429
"2000-11-14",0.0191636363636363,0.022,0.0153191489361701,0.010187617260788,0.0154945054945055,0.0143973214285715
"2000-11-15",0.0238181818181817,0.017076923076923,0.0128368794326241,0.00824577861163234,0.0154945054945055,0.0113214285714285
"2000-11-16",0.0163636363636364,0.012068376068376,0.0109787234042553,0.00714821763602247,0.0164285714285715,0.00950000000000006
"2000-11-17",0.013090909090909,0.00954700854700863,0.00982978723404249,0.00759849906191379,0.0173626373626374,0.00843526785714288
"2000-11-18",0.0159545454545456,0.00760683760683767,0.00859042553191491,0.00954033771106944,0.0192307692307692,0.00815848214285708
"2000-11-19",0.0175909072727272,0.00782051282051288,0.00925531914893618,0.00759849906191379,0.0195329670329669,0.0080892857142858
"2000-11-20",0.0159545454545456,0.00675213675213682,0.0182056737588652,0.00759849906191379,0.0187637362637363,0.0080892857142858
"2000-11-21",0.0135000000000001,0.0192307692307692,0.0105478723404255,0.00759849906191379,0.0175961538461538,0.0072991071428572
"2000-11-22",0.0122727272727272,0.0189230769230768,0.00819148936170211,0.00714821763602247,0.0152609890109889,0.00699107142857147
"2000-11-23",0.0102272727272728,0.0100512820512821,0.0114095744680851,0.00624765478424005,0.0132582417582419,0.00678571428571439
"2000-11-24",0.00839545454545454,0.00782051282051288,0.00925531914893618,0.00579737335834896,0.011739010989011,0.00699107142857147
"2000-11-25",0.00868000000000002,0.00717948717948724,0.00792553191489365,0.00579737335834896,0.0108708791208791,0.010638392857143
