"","E84071000","E84095000","E84095500"
"1983-03-22",0.0226748560460652,0.0205187290969899,0.0238798370672098
"1983-03-23",0.0226748560460652,0.0205187290969899,0.021919551934827
"1983-03-24",0.0215708253358926,0.0198245819397993,0.0211201629327902
"1983-03-25",0.0243730326295586,0.0198245819397993,0.0211201629327902
"1983-03-26",0.0226748560460652,0.018794314381271,0.0208604887983708
"1983-03-27",0.0226748560460652,0.019136287625418,0.0206008146639511
"1983-03-28",0.022119961612284,0.0177779264214046,0.0198217922606925
"1983-03-29",0.0249502879078696,0.019136287625418,0.0206008146639511
"1983-03-30",0.027314395393474,0.0177779264214046,0.0259164969450101
"1983-03-31",0.0238014395393473,0.0177779264214046,0.0203411405295315
"1983-04-01",0.0243730326295586,0.0198245819397993,0.021919551934827
"1983-04-02",0.0261214011516315,0.0205187290969899,0.0227596741344196
