Estat;Longitude;Latitude;mu_DJF;sigma_DJF;Area;Prec-med_DJF;IEB_DJF;Coe-compa;Compr-rios;Compr-talv;Dens-dren;Difer-cota;Fator-form;Freq-1ordem;Elev-med;Decli-med;Perimetro;Raz-alonga;Raz-area;Raz-bifur;Raz-circu;Raz-compr;Raz-decliv;Num-rios;Diam-topo;Area-SIG;Reg_hid
E73770000;327640,7678;7032581,189;-3,9600108017;0,7319186498;5550;526,75;0,492518551;6,1604238017;5407,6006;330,22641308;0,9234784257;1053;17,7323398583;0,3850957206;877,3934;6,28;531,9301124091;0,2614762085;5,289;5,0266;0,2600629982;3,3662;1,6628;3294;282;5855,6869869155;2
E73780000;310938,9632;7041330,4291;-4,8510189481;1,3528612697;642;529,48;0,1836429257;5,1912641546;595,8669;79,155020395;0,9286646013;613;8,106099023;0,3584573305;691,3618;9,84;148,3793186588;0,3610952529;3,2282;4,1237;0,366229639;2,8421;2,0924;368;64;641,638433492;2
E73820000;310810,8601;7027753,3581;-4,739044047;1,3185217443;1010;528,09;0,2199414931;5,211581638;938,8515;112,012308846;0,9260391958;662;9,0511088151;0,3669233961;644,2003;9,84;187,2441992187;0,3207547362;3,5061;4,6304;0,363379694;3,3253;2,1114;571;84;1013,8355959931;2
E73900000;300713,6678;7020270,7718;-4,3524731852;1,1289348374;418;522,73;0,2985326509;4,8324083637;388,3091;55,3923732;0,9277930462;513;7,5557309166;0,391847782;527,4193;6,97;111,5531695091;0,4167430009;3,2274;3,7933;0,4226418423;2,3772;1,8453;245;55;418,5298667332;2
E73960000;306179,2513;7007673,1706;-4,1867947272;0,8267985652;8240;522,22;0,4275979449;6,1595955374;7620,3359;423,831798056;0,924830448;1136;19,4409936801;0,381445403;782,1813;7,16;630,9039592421;0,2416670944;4,8344;5,2196;0,2601329428;3,2699;1,7309;4638;338;8239,7113074344;2
E74100000;279184,0974;6992415,0626;-4,1243805239;0,7109270236;61900;482,19;0,4947029419;6,0746690457;56997,3477;1001,258280184;0,9190220538;1620;61,9416247548;0,3886031791;846,8124;7,19;1707,0334767577;0,2806553307;3,8826;4,3675;0,2674573278;2,4445;1,4736;35348;999;62019,5646737806;2
E74270000;268541,6358;6979951,4709;-4,2361791213;0,844243817;5340;497,96;0,4444335136;5,8452106039;4966,0991;366,419145565;0,9294450597;492;14,5818793561;0,4057584935;492,8044;5,6;482,1154531012;0,2250985673;3,6807;4,8033;0,2888679893;3,3608;1,731;3171;289;5343,0797744043;2
E74295000;272307,7473;7010057,7528;-4,5670410462;1,2001339228;300;532,99;0,25619389;5,3043118625;283,4501;62,096999623;0,9456063735;481;4,8272034938;0,3969910699;505,7563;7,51;103,625638934;0,314606401;3,6068;5,2437;0,3507855097;4,0331;2,1438;178;60;299,7548535357;2
E74320000;272556,0497;7046764,5533;-4,5234058967;1,1536619404;609;534,1;0,2663362369;4,8145586361;557,6111;71,379584001;0,9163346167;620;8,5251750341;0,3927539703;671,6277;9,27;134,014008668;0,3899596799;3,4396;4,2591;0,4257814972;2,3794;2,2394;347;68;608,5234474704;2
E74370000;238699,2919;6973980,7147;-3,9146481682;0,6637395322;2020;479,79;0,5995091234;5,2318857758;1807,7762;178,455110708;0,8943566438;425;11,3267401374;0,386876924;493,8527;4,73;265,4179414683;0,2842778569;4,1605;4,2103;0,3605647263;2,9784;1,7808;1132;135;2021,3146651795;2
E74470000;215149,4313;6966866,6393;-4,1353895928;0,7230271741;1540;480,13;0,5414217735;6,0744404511;1363,5085;174,064761114;0,885771335;400;8,8435242191;0,4157609978;461,9769;4,33;268,9239318022;0,2543386225;4,131;5,3714;0,2674774582;3,4001;1,8771;890;145;1539,345930602;2
E82270050;705971,5272;7102790,3573;-2,867479144;0,7400271862;374;734,16;0,4594607777;5,641069727;347,808;53,662488446;0,9364371175;1477;6,9213392961;0,3769355404;714,5967;12,07;122,6724392618;0,4052422567;3,6074;5,5714;0,310153588;3,7649;1,6079;206;68;371,4162900078;3
E82320000;670323,8877;7076284,8625;-3,2082392303;0,7406183252;182;586,15;0,4733342908;5,0866793165;170,9842;26,472754801;0,9384383903;887;6,882576983;0,4061453683;747,7227;9,13;77,4755246127;0,5753485589;3,6659;4,45;0,3814442104;2,4127;1,4055;104;39;182,2007728697;3
E82350000;691344,0715;7069770,9455;-3,5186972035;0,8092077094;794;631,13;0,4037734901;5,4659549965;745,3762;68,708928338;0,9423520878;1116;11,5119567577;0,4159427641;573,4446;11,2;173,4611707149;0,4618735015;3,2238;3,4571;0,3303449272;1,9981;2,2656;493;89;790,9742118939;3
E82370000;690598,805;7068089,0775;-3,2581852614;0,84537614;281;667,35;0,4898567235;4,5870540315;267,1816;32,006667544;0,9455098154;936;8,8287668026;0,4211205713;265,6706;13,16;87,0079962915;0,5926316652;3,5331;3,8578;0,4690639256;1,8448;2,8088;185;41;282,5794038755;3
E82549000;693212,4208;7074267,8212;-3,1488101213;0,7567505391;358;710,87;0,4454806665;5,6963417918;354,7351;39,418519105;0,9927363528;1161;9,0650443423;0,4729513477;540,4647;11,18;121,5027808761;0,5411153744;3,2744;3,9896;0,3041638982;2,4125;1,775;266;55;357,3306235944;3
E82770000;716302,6406;7072914,1327;-2,91869295;1,0036708779;392;701,66;0,2980730679;6,2404083754;361,5609;47,579595452;0,9467631863;1082;8,0263732359;0,3980187136;156,6359;6,83;137,6062369158;0,4634515749;3,5934;3,9747;0,2534391616;2,0947;2,6526;236;48;381,8915915122;3
E83029900;586911,186;7008905,6301;-3,9159665679;0,945813899;648;518,16;0,3305216922;5,231711128;583,2205;43,338108335;0,9051535073;957;14,8675905229;0,4252457878;752,3331;11,52;149,8490819645;0,6609070424;4,1217;4,3074;0,3605887998;2,2128;1,8848;404;49;644,3332487637;3
E83050000;599713,2228;7000686,4065;-4,0004897246;1,3008246791;1570;519,06;0,2849779178;5,0038163133;1444,3665;67,297422663;0,9214379943;1011;23,2923259592;0,4261526283;691,9848;10,12;223,543508856;0,6638382504;4,3508;5,3318;0,3941822173;2,5688;2,0237;999;99;1567,5135048793;3
E83069900;619162,2366;6978542,8503;-4,2113978213;0,9584225614;397;473,09;0,343749;5,8318624359;322,0975;11,868080809;1,0348335233;874;26,2262604646;0,4080250777;670,0311;7,44;116,0969372699;1,6773859345;3,1086;3,7386;0,2901918446;2,1406;1,9518;203;67;311,2553785115;3
E83105000;661472,1994;6936784,7679;-4,2274802297;0,8656036155;434;547,09;0,336759699;4,5075974849;369,3863;29,646000708;0,8501786841;1301;14,6556288276;0,3452396654;888,2006;12,15;106,0194320174;0,7933671801;3,4286;3,7153;0,485746287;1,784;2,4319;224;34;434,4807825983;3
E83250000;637883,1991;6968684,1168;-4,1049176583;0,8548150898;1650;482,5;0,3908875598;5,6263945159;1490,4606;84,242721037;0,9065393979;1387;19,5164773007;0,3941315388;703,0559;9,94;257,4258461144;0,543112229;3,5152;3,9566;0,3117736326;1,9987;2,0418;936;103;1644,1211528694;3
E83300200;635555,3948;6989391,8794;-3,9387245526;0,8463916345;5160;492,55;0,4321965724;6,5391651615;4638,3877;126,185764977;0,9150688589;1414;40,170099321;0,4004817846;637,542;9,07;525,3321753511;0,6366508594;3,8604;3,8635;0,2308102717;1,7979;2,1848;2983;166;5068,8947120214;3
E83345000;616328,0352;7046485,8103;-4,4038125148;1,0035573062;1430;473,59;0,3550824864;4,9726415174;1312,7908;103,054734618;0,9182958289;926;13,8721879279;0,3882219353;680,3939;9,81;212,1527508677;0,413993542;3,2853;3,8031;0,3991401738;2,2072;1,7023;826;109;1429,5946454833;3
E83440000;647152,5372;7006772,1482;-4,3000305817;0,888907068;3330;471,27;0,4111123398;5,5080558141;2912,78;179,473704416;0,8748573644;1092;18,5510973736;0,3958630608;611,9689;10,14;358,6233868134;0,3627767522;3,4779;4,4074;0,3253142449;3,3913;1,8906;1920;196;3329,4341666257;3
E83520000;669856,5199;7018703,8763;-4,1767511257;0,8562436167;9790;485,81;0,4177483983;6,4287946023;8695,4004;230,422833151;0,8966406877;1682;42,0867732739;0,3984427925;603,3312;9,76;714,3650208484;0,4822420962;3,8896;4,1306;0,2388034763;2,205;1,7296;5686;256;9697,7535359619;3
E83660000;662660,5506;7036096,7094;-3,9959758198;0,9452494813;717;524,84;0,3683165699;5,4518011926;782,883;76,669266351;0,877349807;913;11,6386543428;0,3754228733;769,1807;8,55;183,7625922023;0,4396385742;3,9443;4,6236;0,3320624171;2,496;1,5797;506;95;892,3270897765;3
E83675000;671982,2004;7041082,6969;-3,462200423;0,6180497525;536;592,68;0,5545446191;5,5244488758;467,4835;53,534038595;0,8992670877;976;9,7106338809;0,3808795035;708,4841;9,5;142,129036582;0,4805779556;3,8177;3,994;0,3233864565;2,5216;1,4935;308;64;519,8494489633;3
E83677000;671766,2609;7031297,7158;-3,7713202203;0,7104069243;1600;551,27;0,4766794159;5,1560043527;1416,9678;91,483275327;0,8830981944;990;17,5391797655;0,3801708822;691,446;9,23;233,047166438;0,4940704121;4,0267;4,0153;0,3712557552;2,0944;1,7053;928;113;1604,5416114935;3
E83690000;675343,5486;7024445,9996;-3,88115954;0,7900035086;9850;486,23;0,4434090304;6,4601602235;8748,0879;241,093902126;0,896998645;1690;40,4515460622;0,3991747414;600,767;9,75;719,8782037096;0,4621995399;3,8896;4,1352;0,2364902098;2,2301;1,7346;5724;268;9752,6210871711;3
E83800002;692129,8517;7021153,2527;-3,8102094711;0,7628091475;11803;502,19;0,4298645367;6,2539015296;10839,0664;270,533778558;0,89675772;1737;44,6781574501;0,3987771687;589,8032;9,74;775,8262582674;0,4585555322;3,8026;4,2693;0,2523467221;2,2571;1,7462;7101;301;12086,9507539731;3
E83880000;705784,1229;7042795,0185;-2,9867036417;0,7362289052;104;640,1;0,4734491685;5,6463861725;88,6493;17,532772672;0,8593115305;625;5,8840190416;0,3780418987;239,4321;9,3;64,7124693739;0,6536824017;4,2382;3,9359;0,3095698027;2,4825;1,9154;59;19;103,1631682548;3
E83892990;665427,8732;6976132,4532;-4,198432112;0,9464482141;286;466,33;0,3444964437;5,1629351174;242,89;33,052456837;0,8482953595;761;8,6628101527;0,3352808041;703,4447;9,35;98,5786799782;0,5776736849;3,5938;3,6181;0,3702596709;1,8272;1,9879;158;38;286,3271586585;3
E83892998;689453,9252;6990317,619;-4,0480154807;0,6473714517;827;489,99;0,4872157862;5,8626966296;676,9401;78,407012057;0,8512043378;955;10,1428851769;0,3533376423;591,941;12,58;186,5566298781;0,4058432824;3,1478;4,3362;0,2871474089;3,1376;2,0618;440;97;795,2733203554;3
E83900000;706584,8903;7000758,4623;-3,907055956;0,5884944607;1240;518,57;0,5653136782;6,589886356;1066,411;115,177300861;0,8827762222;1094;10,4883480944;0,3799607149;477,1381;12,74;258,4460977297;0,3405063044;3,1099;5,0768;0,2272709331;4,505;2,0998;706;138;1208,0196240073;3
E84071000;702435,0496;6966067,6848;-3,6665257124;0,6042930242;1042;613,26;0,541511574;5,0727380882;943,3756;62,371489748;0,9107525599;1335;16,6072652125;0,394856298;709,4105;11,85;184,2212048399;0,5822520969;3,4198;3,6631;0,383543711;1,9378;1,624;605;65;1035,8198719428;3
E84095000;704594,0973;6980286,8783;-3,9016845351;0,6156109463;598;528,36;0,57820633;6,8135176191;544,7949;89,138679204;0,90842337;1081;6,7278847037;0,383515659;574,9145;13,44;188,277667836;0,3099996704;4,1532;4,3673;0,2125969251;2,8121;1,8767;341;115;599,7147563235;3
E84095500;712864,4416;6981317,2997;-3,7360264504;0,6582993969;1964;585,55;0,5286946686;5,0938245368;1761,5437;101,985595094;0,9189298851;1360;18,7962932247;0,3938545852;601,6797;12,63;251,6544203771;0,4844196459;3,5523;4,0258;0,3803748405;2,2309;1,9305;1127;136;1916,9511500834;3
E84100000;716642,5434;6933648,4123;-3,4940151401;0,6206865353;400;712,51;0,5368147946;4,9355265486;379,9222;37,379787695;0,9468830144;1209;10,7339981224;0,4187076891;563,3722;13,49;111,5546619206;0,6046685791;3,2195;3,8111;0,4051657825;2,1766;1,722;245;50;401,234570935;3
E84249998;667138,7568;6861901,6046;-3,668302372;0,8173554868;599;518,66;0,4182567324;4,9908822803;561,2253;43,364887569;0,9367681069;1699;13,8155099398;0,4056029726;540,2133;12,76;137,8430765988;0,6368972985;3,5403;4,1603;0,3962279366;2,3832;2,091;346;54;599,1080352493;3
E84300000;678012,5183;6853368,4584;-3,4969429099;0,8549195201;822;517,12;0,3590021942;5,9756992025;849,7067;64,443522395;0,9287172452;1763;14,1973164435;0,4022187259;441,8627;11,06;203,9560319812;0,5296250955;3,4872;4,5616;0,2763899763;2,7953;2,0809;545;81;914,9250801785;3
E84520000;685325,8936;6901871,0064;-3,4289905317;0,5633768639;380;678,5;0,5672671104;5,4756364512;324,7205;38,152560011;0,8797966785;1060;9,6739470247;0,4199565016;796,7768;12,92;118,700721768;0,5681919411;3,8454;3,9944;0,3291777963;2,1911;1,8016;224;46;369,0858444014;3
E84520010;684989,0456;6897750,6588;-3,4017501215;0,6314617766;676;662,07;0,5000908797;4,935946885;527,6345;43,289586684;0,8500187571;1527;14,3390782942;0,3882508071;751,5027;12,76;138,7643400951;0,6494174555;3,9456;4,249;0,405096779;2,2191;1,7746;354;52;620,7327727848;3
E84551000;677074,4312;6878012,769;-3,2997405614;0,8990810021;379;578,66;0,4081374411;5,1062588607;356,1795;38,167409129;0,9363379135;1525;9,9665220239;0,3811813915;449,7677;9,7;112,376639885;0,5766078287;3,9646;3,8768;0,3785245836;2,033;2,5664;222;50;380,3963236804;3
E84559800;680274,2432;6875009,0681;-3,8644104667;0,9381000992;1515;645,98;0,4172873032;5,4566857525;893,8138;84,680234727;0,8651130127;1702;12,2009081559;0,3794126931;601,8956;11,29;197,9115356352;0,4283118713;3,5748;4,6553;0,3314681909;2,7418;1,8734;578;92;1033,1757665219;3
E84560000;678548,0961;6865398,5613;-3,5043164096;0,8900855619;1690;618,03;0,3477021573;5,4358217156;1504,011;101,953349152;0,8928321218;1725;16,5226502206;0,3906111964;512,5576;10,35;251,745007497;0,454249194;3,9104;3,9718;0,334017589;2,037;2,069;982;119;1684,5395268577;3
E84580000;685465,8664;6854854,5678;-3,6094699417;0,7078777382;2740;579,63;0,4361406444;6,045368024;2476,3901;122,539852494;0,9052089765;1782;22,3250712676;0,3903921223;474,9181;10,61;356,7901921175;0,4816292005;4,026;4,2226;0,2700562646;2,214;2,1077;1595;144;2735,7109400465;3
E84598002;699192,4093;6882835,7973;-3,5950717507;0,6226822954;620;652,01;0,5334857307;5,3320494275;576,6362;27,463168476;0,9303862821;1228;22,567734477;0,4162757399;551,3858;11,52;149,7850705217;1,0228777233;3,3279;4,1796;0,3471453979;2,7147;1,9274;380;73;619,7814940641;3
E84800000;641697,2699;6834159,861;-2,9247873278;0,947090093;119;526,69;0,3744808958;4,6039670795;110,2589;15,983607801;0,9388616971;1315;7,3474598151;0,4853587033;632,1017;22,6;56,2980413721;0,7650437329;3,4781;4,1368;0,4656239666;2,1434;2,5128;83;28;117,4389160176;3
E84820000;649042,3153;6816004,2514;-3,7887399902;1,4118968064;526;504,8;0,2104914524;5,553781791;414,6947;56,68803053;1,065963508;1458;6,8626962759;0,4909612542;258,0487;7,52;123,6052579644;0,3926058479;3,5554;3,9749;0,3199794746;2,5284;2,1024;301;79;389,0327360042;3
E84853000;639700,1438;6804361,2146;-4,1798936369;1,8456602228;355;566,89;0,1708059398;6,114431537;379,5148;50,45049565;1,048709088;1376;7,173122505;0,5554210974;383,2183;13,13;131,2496000022;0,4254773686;4,395;4,208;0,2639900585;2,5837;2,5424;302;69;361,8875857343;3
E84949000;625093,5532;6796610,8932;-4,5224432165;2,1833183116;359;607,78;0,1579638538;5,8805082971;410,8508;2,874503198;1,0951114186;1281;130,5157830991;0,6370478749;481,6602;14,15;128,5235879845;7,6033534219;3,1068;4,2017;0,2854105426;2,032;2,117;348;49;375,1680359078;3
E84970000;600827,082;6769914,5965;-3,4024315039;1,1921989323;339;510,06;0,2118337283;5,4378430538;300,0926;38,247805425;0,8841623207;1015;8,8739455949;0,3535557974;603,7586;15,1;113,0429206685;0,5435133045;3,7428;5,2917;0,3337693151;2,5456;3,4354;172;51;339,4089444651;3
E86100000;549322,8125;6813494,2377;-4,1167223238;0,9177711439;1820;485,85;0,3389499429;5,8065016413;1638,8783;123,090269823;0,90009513;679;14,7922612787;0,3833514671;989,0135;7,53;279,5752738213;0,3911654443;3,8368;4,0134;0,292732296;2,2401;1,7981;995;122;1820,7834320875;3
