Cdigo,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2849023,"1697,086664","503,063332","339,453332","428,553336","461,616665","6861432,89","617181,237",1088
2849024,"1621,456774","513,820691","358,010712","361,775001","423,343227","6807404,39","637562,704",15
2850002,"1720,02","470,643333","360,146666","458,69","455,810001","6821189,98","591142,137",1227
2850004,"1499,245984","400,265516","317,566012","402,596165","418,095938","6885797,52","554902,591",936
2850008,"1727,511114","460,962964","371,3","457,162964","491,577777","6879407,48","523688,415",646
2850009,"1627,500002","454,503333","329,680001","421,616665","438,776666","6806652,52","553260,61",695
2851007,"1724,32333","448,533332","374,193332","438,383333","493,443332","6876816,02","446039,569",771
2851043,"1781,291835","429,02632","391,117242","472,05517","529,775862","6896217,96","481438,717",950
2852046,"1852,398048","452,43793","419,46885","475,674023","540,548738","6896109,03","402108,682",686
2949001,"1809,741528","587,594616","367,180171","414,420635","507,113539","6769861,14","600784,304",52
2949003,"1549,650003","435,793334","361,976667","372,860001","399,810001","6778250,09","632430,044",3
2950008,"1494,740001","426,11","305,603334","381,893332","389,603334","6780636,9","581090,856",956
2950027,"1494,767365","448,164407","309,595812","361,490026","386,26712","6749254,43","579250,391",374
2950034,"1549,476666","468,036667","326,616667","374,000001","396,429996","6751101,16","579263,304",776
2950038,"1762,474729","526,174694","393,500001","415,62537","459,194368","6728231,26","591400,042",15
